Year,Month,Day,Hour,Minute,Temperature,DHI,GHI,DNI,Relative Humidity,Solar Zenith Angle,Precipitable Water,Pressure,Wind Speed,Dew Point,Cloud Type,Surface Albedo
2020,1,1,0,30,8.9,0,0,0,91.28,91.21000000000001,2.3000000000000003,995,1.8,7.6000000000000005,4,0.1
2020,1,1,1,30,9.200000000000001,0,0,0,91.44,100.07000000000001,2.1,995,1.7000000000000002,7.9,4,0.1
2020,1,1,2,30,9.5,0,0,0,92.12,109.66,2,994,1.6,8.3,0,0.1
2020,1,1,3,30,9.8,0,0,0,93.01,119.66,2,994,1.5,8.700000000000001,4,0.1
2020,1,1,4,30,9.9,0,0,0,94.29,129.73,1.9000000000000001,994,1.4000000000000001,9,4,0.1
2020,1,1,5,30,9.9,0,0,0,94.63,139.44,1.9000000000000001,994,1.3,9.1,8,0.1
2020,1,1,6,30,9.8,0,0,0,94.94,148.02,1.9000000000000001,994,1.3,9,7,0.1
2020,1,1,7,30,9.8,0,0,0,94.99,153.98,1.9000000000000001,994,1.3,9,7,0.1
2020,1,1,8,30,9.8,0,0,0,95.22,155.17000000000002,1.8,994,1.3,9.1,6,0.1
2020,1,1,9,30,9.5,0,0,0,95.23,150.97,1.7000000000000002,994,1.2000000000000002,8.8,8,0.1
2020,1,1,10,30,9.200000000000001,0,0,0,94.85000000000001,143.25,1.6,994,1.1,8.4,8,0.1
2020,1,1,11,30,8.9,0,0,0,95.02,133.89000000000001,1.5,995,1,8.1,8,0.1
2020,1,1,12,30,8.5,0,0,0,95.72,123.9,1.4000000000000001,995,1,7.9,8,0.1
2020,1,1,13,30,8.1,0,0,0,95.75,113.82000000000001,1.4000000000000001,996,1,7.5,3,0.1
2020,1,1,14,30,7.6000000000000005,0,0,0,96.22,104.02,1.4000000000000001,996,1,7,8,0.1
2020,1,1,15,30,7.4,0,0,0,95.13,94.8,1.4000000000000001,997,1,6.7,8,0.1
2020,1,1,16,30,7.9,22,28,88,92.32000000000001,86.3,1.4000000000000001,998,1,6.7,3,0.1
2020,1,1,17,30,8.6,63,109,252,92.03,79.45,1.4000000000000001,999,1.1,7.4,4,0.1
2020,1,1,18,30,9.1,72,189,430,91.34,74.25,1.4000000000000001,999,0.9,7.800000000000001,0,0.1
2020,1,1,19,30,9.5,110,153,133,91,71.22,1.3,999,0.9,8.1,4,0.1
2020,1,1,20,30,9.700000000000001,85,273,568,90.57000000000001,70.67,1.3,999,0.9,8.200000000000001,0,0.1
2020,1,1,21,30,9.600000000000001,70,123,179,90.53,72.66,1.3,1000,0.9,8.1,4,0.1
2020,1,1,22,30,9,41,101,267,91.84,76.97,1.3,1000,0.9,7.7,4,0.1
2020,1,1,23,30,8.6,38,75,313,90.52,83.18,1.2000000000000002,1001,0.9,7.1000000000000005,0,0.1
