Year,Month,Day,Hour,Minute,Temperature,DHI,GHI,DNI,Relative Humidity,Solar Zenith Angle,Precipitation,Pressure,Wind Speed,Dew Point,Cloud Type,Surface Albedo
2014,1,1,0,30,5.800000000000001,0,0,0,94.28,91.15,1.4000000000000001,1019,0.5,5,0,0.1
2014,1,1,1,30,5.800000000000001,0,0,0,93.84,100.01,1.4000000000000001,1019,0.5,4.9,0,0.1
2014,1,1,2,30,5.6000000000000005,0,0,0,94.24,109.60000000000001,1.4000000000000001,1019,0.6000000000000001,4.7,4,0.1
2014,1,1,3,30,5.5,0,0,0,92.99,119.60000000000001,1.4000000000000001,1019,0.6000000000000001,4.5,4,0.1
2014,1,1,4,30,5.5,0,0,0,90.79,129.68,1.4000000000000001,1020,0.6000000000000001,4.1000000000000005,4,0.1
2014,1,1,5,30,5.2,0,0,0,90.35000000000001,139.39000000000001,1.4000000000000001,1020,0.5,3.7,4,0.1
2014,1,1,6,30,4.800000000000001,0,0,0,89.97,147.97,1.5,1020,0.5,3.3000000000000003,4,0.1
2014,1,1,7,30,4.4,0,0,0,89.98,153.94,1.5,1021,0.6000000000000001,2.9000000000000004,1,0.1
2014,1,1,8,30,3.9000000000000004,0,0,0,90.88,155.15,1.6,1021,0.8,2.5,4,0.1
2014,1,1,9,30,3.2,0,0,0,92.39,150.96,1.6,1021,1,2.1,4,0.1
2014,1,1,10,30,2.5,0,0,0,91.96000000000001,143.25,1.6,1021,1,1.3,1,0.1
2014,1,1,11,30,2.1,0,0,0,90.34,133.89000000000001,1.6,1021,1,0.7000000000000001,1,0.1
2014,1,1,12,30,2.1,0,0,0,88.69,123.9,1.6,1021,0.8,0.4,1,0.1
2014,1,1,13,30,2.4000000000000004,0,0,0,87.28,113.82000000000001,1.6,1020,0.5,0.5,4,0.1
2014,1,1,14,30,2.5,0,0,0,85.32000000000001,104.01,1.5,1020,0.30000000000000004,0.30000000000000004,4,0.1
2014,1,1,15,30,2.5,0,0,0,83.43,94.79,1.5,1020,0.2,0,4,0.1
2014,1,1,16,30,3.2,12,12,0,82.47,86.28,1.4000000000000001,1021,0.2,0.5,4,0.1
2014,1,1,17,30,4.3,26,26,0,87.65,79.42,1.4000000000000001,1021,0.2,2.4000000000000004,4,0.1
2014,1,1,18,30,5.300000000000001,93,185,335,86.78,74.22,1.3,1021,0.1,3.3000000000000003,4,0.1
2014,1,1,19,30,6,131,187,174,86.06,71.18,1.3,1020,0.2,3.8000000000000003,4,0.1
2014,1,1,20,30,6.5,137,176,117,85.58,70.62,1.3,1020,0.2,4.3,7,0.1
2014,1,1,21,30,6.6000000000000005,119,136,59,86.41,72.60000000000001,1.4000000000000001,1019,0.2,4.5,7,0.1
2014,1,1,22,30,6,88,114,114,90.97,76.9,1.5,1019,0.30000000000000004,4.6000000000000005,7,0.1
2014,1,1,23,30,5.6000000000000005,27,27,0,90.73,83.11,1.5,1019,0.30000000000000004,4.2,7,0.1
2014,1,2,0,30,4.9,0,0,0,89.76,91.02,1.7000000000000002,1019,0.30000000000000004,3.4000000000000004,7,0.1
2014,1,2,1,30,4.7,0,0,0,90.32000000000001,99.88,1.8,1018,0.30000000000000004,3.2,6,0.1
2014,1,2,2,30,4.4,0,0,0,90.92,109.47,1.9000000000000001,1018,0.30000000000000004,3,6,0.1
2014,1,2,3,30,3.8000000000000003,0,0,0,90.91,119.47,1.8,1017,0.4,2.5,7,0.1
2014,1,2,4,30,3.1,0,0,0,91.65,129.54,1.8,1017,0.6000000000000001,1.9000000000000001,1,0.1
2014,1,2,5,30,3,0,0,0,88.41,139.25,1.9000000000000001,1017,0.7000000000000001,1.3,4,0.1
2014,1,2,6,30,3.3000000000000003,0,0,0,85.35000000000001,147.84,1.9000000000000001,1016,0.7000000000000001,1.1,4,0.1
2014,1,2,7,30,3.6,0,0,0,82.53,153.83,1.9000000000000001,1016,0.8,0.9,4,0.1
2014,1,2,8,30,3.7,0,0,0,80.25,155.07,1.9000000000000001,1016,0.9,0.6000000000000001,4,0.1
2014,1,2,9,30,3.9000000000000004,0,0,0,76.06,150.93,1.8,1016,1,0.1,7,0.1
2014,1,2,10,30,4.4,0,0,0,71.92,143.25,1.9000000000000001,1015,0.9,-0.2,4,0.1
2014,1,2,11,30,4.6000000000000005,0,0,0,73.54,133.91,2,1015,0.9,0.30000000000000004,4,0.1
2014,1,2,12,30,4.4,0,0,0,77.47,123.92,2,1014,0.9,0.8,7,0.1
2014,1,2,13,30,4.1000000000000005,0,0,0,82,113.84,2.1,1013,0.8,1.3,7,0.1
2014,1,2,14,30,3.8000000000000003,0,0,0,85.83,104.03,2,1012,0.8,1.6,4,0.1
2014,1,2,15,30,4.1000000000000005,0,0,0,83.9,94.79,1.9000000000000001,1011,0.9,1.6,7,0.1
2014,1,2,16,30,5.4,14,14,0,81.47,86.27,1.9000000000000001,1011,1,2.5,6,0.1
2014,1,2,17,30,6.800000000000001,69,95,141,82.28,79.39,1.9000000000000001,1011,1,4,7,0.1
2014,1,2,18,30,8,25,25,0,80.58,74.17,1.8,1011,1,4.9,6,0.1
2014,1,2,19,30,8.9,16,16,0,79.9,71.10000000000001,1.8,1010,1.1,5.6000000000000005,6,0.1
2014,1,2,20,30,9.200000000000001,11,11,0,79.47,70.52,1.9000000000000001,1009,1.2000000000000002,5.800000000000001,6,0.1
2014,1,2,21,30,8.9,80,80,0,80.62,72.48,2,1008,1.2000000000000002,5.7,6,0.1
