Year,Month,Day,Hour,Minute,DHI,GHI,DNI,Relative Humidity,Dew Point,Temperature,Precipitation,Pressure,Wind Speed,Solar Zenith Angle
2022,1,1,0,30,10,12,125,96.78,-4,-3.6,0.5,1007,0.5,89.15
2022,1,1,1,30,0,0,0,92.17,-6.7,-5.6000000000000005,0.5,1007,0.6000000000000001,98.82000000000001
2022,1,1,2,30,0,0,0,88.96000000000001,-8.1,-6.6000000000000005,0.5,1008,0.6000000000000001,108.79
2022,1,1,3,30,0,0,0,85.42,-9,-7,0.5,1008,0.6000000000000001,119.2
2022,1,1,4,30,0,0,0,84.14,-9.4,-7.2,0.5,1009,0.6000000000000001,129.73
2022,1,1,5,30,0,0,0,83.10000000000001,-9.9,-7.5,0.6000000000000001,1009,0.6000000000000001,140
2022,1,1,6,30,0,0,0,81.94,-10.100000000000001,-7.6000000000000005,0.6000000000000001,1010,0.6000000000000001,149.27
2022,1,1,7,30,0,0,0,81.58,-10.200000000000001,-7.6000000000000005,0.7000000000000001,1010,0.6000000000000001,155.99
2022,1,1,8,30,0,0,0,81.05,-10.3,-7.6000000000000005,0.7000000000000001,1010,0.5,157.53
2022,1,1,9,30,0,0,0,80.59,-10.4,-7.6000000000000005,0.8,1011,0.6000000000000001,152.95000000000002
2022,1,1,10,30,0,0,0,81.34,-10.200000000000001,-7.6000000000000005,0.9,1011,0.6000000000000001,144.62
2022,1,1,11,30,0,0,0,81.27,-10.100000000000001,-7.4,1,1011,0.6000000000000001,134.71
2022,1,1,12,30,0,0,0,81.83,-9.8,-7.2,1,1011,0.6000000000000001,124.23
2022,1,1,13,30,0,0,0,82.11,-9.3,-6.800000000000001,1,1012,0.6000000000000001,113.72
2022,1,1,14,30,0,0,0,82.34,-8.8,-6.300000000000001,1,1012,0.6000000000000001,103.49000000000001
2022,1,1,15,30,0,0,0,80.4,-8.4,-5.6000000000000005,0.9,1013,0.6000000000000001,93.87
2022,1,1,16,30,27,54,312,76.84,-7.4,-3.9000000000000004,0.9,1013,0.6000000000000001,85
2022,1,1,17,30,44,102,271,79.72,-4.7,-1.7000000000000002,0.9,1013,0.6000000000000001,77.73
2022,1,1,18,30,84,99,49,82.79,-2.7,-0.1,0.9,1013,0.7000000000000001,72.19
2022,1,1,19,30,170,179,26,85.03,-1.4000000000000001,0.8,0.9,1013,0.6000000000000001,68.9
2022,1,1,20,30,95,324,618,85.87,-0.7000000000000001,1.4000000000000001,1,1012,0.6000000000000001,68.24
2022,1,1,21,30,54,332,824,87.22,-0.30000000000000004,1.6,0.9,1012,0.5,70.27
2022,1,1,22,30,47,246,758,89.2,-0.2,1.4000000000000001,0.9,1011,0.4,74.76
2022,1,1,23,30,62,101,259,95.52,-0.4,0.2,0.8,1011,0.4,81.26
2022,1,2,0,30,6,6,0,93.82000000000001,-2.2,-1.3,0.8,1010,0.4,89.04
2022,1,2,1,30,0,0,0,91.17,-3.3000000000000003,-2.1,0.8,1010,0.4,98.68
2022,1,2,2,30,0,0,0,89.49,-3.6,-2.1,0.7000000000000001,1010,0.5,108.65
2022,1,2,3,30,0,0,0,88.21000000000001,-3.5,-1.8,0.8,1009,0.5,119.06
2022,1,2,4,30,0,0,0,88.28,-3.3000000000000003,-1.6,0.8,1009,0.5,129.6
2022,1,2,5,30,0,0,0,87.44,-3.2,-1.4000000000000001,0.8,1009,0.5,139.86
2022,1,2,6,30,0,0,0,87.12,-3.1,-1.2000000000000002,0.9,1008,0.5,149.13
2022,1,2,7,30,0,0,0,86.32000000000001,-2.9000000000000004,-0.9,0.9,1008,0.5,155.87
2022,1,2,8,30,0,0,0,85.18,-2.8000000000000003,-0.6000000000000001,1,1008,0.5,157.45000000000002
2022,1,2,9,30,0,0,0,85.04,-2.6,-0.4,1,1007,0.5,152.93
2022,1,2,10,30,0,0,0,85.15,-2.5,-0.30000000000000004,1.1,1006,0.5,144.63
2022,1,2,11,30,0,0,0,84.49,-2.4000000000000004,-0.1,1.2000000000000002,1006,0.6000000000000001,134.73
