Year,Month,Day,Hour,Minute,Temperature,DHI,GHI,DNI,Relative Humidity,Solar Zenith Angle,Precipitation,Pressure,Wind Speed,Dew Point
2015,1,1,0,30,-1.4000000000000001,0,0,0,76.79,91.18,1.1,1025,0.8,-4.9
2015,1,1,1,30,-1.7000000000000002,0,0,0,77.98,100.05,1.1,1025,0.8,-5
2015,1,1,2,30,-1.9000000000000001,0,0,0,79.41,109.64,1.1,1024,0.6000000000000001,-5
2015,1,1,3,30,-1.9000000000000001,0,0,0,79.56,119.64,1.1,1024,0.5,-5
2015,1,1,4,30,-1.8,0,0,0,77.08,129.71,1.1,1023,0.5,-5.300000000000001
2015,1,1,5,30,-1.8,0,0,0,73.03,139.42000000000002,1.1,1023,0.4,-6
2015,1,1,6,30,-1.9000000000000001,0,0,0,72.55,148,1.1,1022,0.4,-6.2
2015,1,1,7,30,-2,0,0,0,73.4,153.97,1,1022,0.4,-6.1000000000000005
2015,1,1,8,30,-2.1,0,0,0,73.68,155.16,1,1022,0.4,-6.2
2015,1,1,9,30,-2.2,0,0,0,73,150.96,1.1,1022,0.4,-6.4
2015,1,1,10,30,-2.2,0,0,0,71.42,143.25,1.1,1021,0.4,-6.7
2015,1,1,11,30,-2.3000000000000003,0,0,0,70.68,133.89000000000001,1.1,1021,0.30000000000000004,-6.9
2015,1,1,12,30,-2.3000000000000003,0,0,0,70.10000000000001,123.9,1.2000000000000002,1020,0.30000000000000004,-7
2015,1,1,13,30,-2.3000000000000003,0,0,0,69.9,113.82000000000001,1.2000000000000002,1020,0.4,-7
2015,1,1,14,30,-2.5,0,0,0,70.82000000000001,104.01,1.2000000000000002,1019,0.5,-7.1000000000000005
2015,1,1,15,30,-2.5,0,0,0,71.02,94.79,1.3,1019,0.5,-7
2015,1,1,16,30,-1.5,20,45,391,68.86,86.28,1.3,1020,0.4,-6.5
2015,1,1,17,30,0.2,37,157,655,73.16,79.42,1.3,1019,0.2,-4
2015,1,1,18,30,1.8,46,252,756,65.16,74.23,1.4000000000000001,1019,0.1,-4.1000000000000005
2015,1,1,19,30,3.1,50,309,803,62.940000000000005,71.19,1.4000000000000001,1018,0.1,-3.3000000000000003
2015,1,1,20,30,3.8000000000000003,51,319,811,62.480000000000004,70.64,1.4000000000000001,1018,0.1,-2.7
2015,1,1,21,30,3.9000000000000004,50,282,776,64.97,72.62,1.4000000000000001,1017,0.1,-2.1
2015,1,1,22,30,3.5,43,200,694,73.39,76.93,1.5,1017,0.2,-0.8
2015,1,1,23,30,3.1,30,91,515,70.59,83.15,1.5,1017,0.30000000000000004,-1.7000000000000002
2015,1,2,0,30,1.7000000000000002,0,0,0,72.81,91.05,1.5,1017,0.7000000000000001,-2.7
2015,1,2,1,30,1,0,0,0,76.82000000000001,99.91,1.5,1016,0.7000000000000001,-2.6
2015,1,2,2,30,0.8,0,0,0,78.89,109.5,1.5,1016,0.6000000000000001,-2.4000000000000004
2015,1,2,3,30,0.8,0,0,0,80.33,119.5,1.6,1015,0.6000000000000001,-2.2
2015,1,2,4,30,0.5,0,0,0,82.48,129.58,1.6,1015,0.7000000000000001,-2.1
2015,1,2,5,30,0.1,0,0,0,85.33,139.29,1.6,1015,0.8,-2.1
2015,1,2,6,30,-0.2,0,0,0,87.61,147.87,1.6,1015,0.8,-2
2015,1,2,7,30,-0.30000000000000004,0,0,0,89.03,153.86,1.6,1014,0.8,-1.9000000000000001
2015,1,2,8,30,-0.30000000000000004,0,0,0,90.07000000000001,155.09,1.6,1014,0.7000000000000001,-1.7000000000000002
2015,1,2,9,30,-0.2,0,0,0,91.49,150.94,1.6,1014,0.7000000000000001,-1.4000000000000001
2015,1,2,10,30,-0.1,0,0,0,91.46000000000001,143.25,1.6,1014,0.8,-1.3
2015,1,2,11,30,0.2,0,0,0,87.61,133.9,1.6,1013,0.9,-1.6
2015,1,2,12,30,0.4,0,0,0,88.10000000000001,123.92,1.6,1013,0.8,-1.3
2015,1,2,13,30,0.30000000000000004,0,0,0,90.5,113.84,1.5,1013,0.8,-1.1
2015,1,2,14,30,0.30000000000000004,0,0,0,90.37,104.02,1.6,1013,0.8,-1.1
2015,1,2,15,30,0.8,0,0,0,87.79,94.79,1.6,1013,0.8,-1
