GHI-SPACE METRICS
Training Error
MSE: 25390.885125348996
RMSE: 159.34517603413352
NRMSE: 0.5447646751013197
MAE: 123.34805906611555
MBE: -24.845953142194993
sMAPE: 0.5449832757330713
R^2: 0.6423883842327955

Validation Error
MSE: 26087.009593730458
RMSE: 161.514734912114
NRMSE: 0.5293819287331017
MAE: 125.41007411186938
MBE: -37.968479046905834
sMAPE: 0.5230091667311182
R^2: 0.6491072664992429

Testing Error
MSE: 24226.02666233556
RMSE: 155.64712224238377
NRMSE: 0.5212501833609703
MAE: 119.10028987707673
MBE: -30.882214507737487
sMAPE: 0.49610615507520256
R^2: 0.6592214662996795
