Training Error
MSE: 17195.3289105116
RMSE: 131.13096091507757
NRMSE: 0.44830673319739395
MAE: 92.24124374122817
MBE: -1.2565829814201195
sMAPE: 0.452802029605303
R^2: 0.7578166603890082

Validation Error
MSE: 25049.193824349673
RMSE: 158.26937108723746
NRMSE: 0.5187448994738912
MAE: 113.33660677695694
MBE: -14.653347530858282
sMAPE: 0.5057469995982985
R^2: 0.6630667819001903

Testing Error
MSE: 22195.423416077596
RMSE: 148.98128545585044
NRMSE: 0.49892681112525383
MAE: 106.0534127922667
MBE: -7.403907758941179
sMAPE: 0.48687091375122005
R^2: 0.687785209187934
