Training Error
MSE: 16863.10540771759
RMSE: 129.85802019019692
NRMSE: 0.44256790560469456
MAE: 100.1112161736233
MBE: -2.4809761808275925
sMAPE: 0.7041348397220033
R^2: 0.7631093371535669

Validation Error
MSE: 16395.282016655412
RMSE: 128.04406279345955
NRMSE: 0.4196763061619489
MAE: 99.72586090479406
MBE: -2.660364618501013
sMAPE: 0.691309794692425
R^2: 0.7801119794555429

Testing Error
MSE: 17090.923665841026
RMSE: 130.73225946888942
NRMSE: 0.4375120302977359
MAE: 101.05561810403063
MBE: -3.202882233731142
sMAPE: 0.6871349301102946
R^2: 0.7590165906320963
