Training Error
MSE: 9164.391645649475
RMSE: 95.73082912860139
NRMSE: 0.3262593444764957
MAE: 52.61172106081081
MBE: -6.325268536111588
sMAPE: 0.4901253164946146
R^2: 0.8712598445244981

Validation Error
MSE: 8060.947286507409
RMSE: 89.7827783403221
NRMSE: 0.29427139327564916
MAE: 48.1720065433719
MBE: -6.970937621361556
sMAPE: 0.4730048948935053
R^2: 0.8918892800325628

Testing Error
MSE: 9279.85981707045
RMSE: 96.33202903017485
NRMSE: 0.3223873109879809
MAE: 55.297724645457734
MBE: -5.306163216316752
sMAPE: 0.5082353376081973
R^2: 0.8691532242698816
