Training Error
MSE: 7225.236402458546
RMSE: 85.00139059132236
NRMSE: 0.289680245960864
MAE: 51.97971106740736
MBE: 0.36322402253494035
sMAPE: 0.3166772282527216
R^2: 0.8985008396011536

Validation Error
MSE: 6386.143916386597
RMSE: 79.91335255379164
NRMSE: 0.26187336837317465
MAE: 49.13551060502564
MBE: -4.605679056017538
sMAPE: 0.31051695001300456
R^2: 0.9143511808299633

Testing Error
MSE: 7476.365275347447
RMSE: 86.46597755965897
NRMSE: 0.2893087425610694
MAE: 54.539545985277215
MBE: -4.308855561999635
sMAPE: 0.36155691473775015
R^2: 0.8945826434568903
