Training Error
MSE: 2904.429752153878
RMSE: 53.8927615933149
NRMSE: 0.1836636827380967
MAE: 23.5543515789234
MBE: 0.0022801930500442064
sMAPE: 15.177401693622587
R^2: 0.9495890470861457

Validation Error
MSE: 3078.4634072541767
RMSE: 55.48390223528061
NRMSE: 0.18181888138231359
MAE: 24.151756470216363
MBE: -2.3486177425409225
sMAPE: 14.972188573348244
R^2: 0.9496064492033652

Testing Error
MSE: 3782.023745676297
RMSE: 61.49816050644358
NRMSE: 0.20576828005746062
MAE: 27.701270307692706
MBE: -4.746968477146956
sMAPE: 17.320119289677166
R^2: 0.9351014810692961
