Training Error
MSE: 9072.4033203125
RMSE: 95.24916440742408
NRMSE: 0.3256144221192878
MAE: 58.85430908203125
MBE: -1.4096283
sMAPE: 0.43265614
R^2: 0.8722217082977295

Validation Error
MSE: 7842.69091796875
RMSE: 88.55896859137842
NRMSE: 0.29021193928164457
MAE: 55.07086944580078
MBE: -7.5404477
sMAPE: 0.41050968
R^2: 0.89451003074646

Testing Error
MSE: 8807.93359375
RMSE: 93.85059186680711
NRMSE: 0.3142366872825115
MAE: 59.69844055175781
MBE: -6.0586367
sMAPE: 0.4482263
R^2: 0.8761041164398193
