Training Error
MSE: 9137.0341796875
RMSE: 95.58783489381638
NRMSE: 0.3267650947619969
MAE: 61.44393539428711
MBE: -11.103279
sMAPE: 0.45284557
R^2: 0.8713114261627197

Validation Error
MSE: 8335.1826171875
RMSE: 91.29722130047277
NRMSE: 0.29915280288433344
MAE: 59.014774322509766
MBE: -16.304926
sMAPE: 0.43315837
R^2: 0.8878856897354126

Testing Error
MSE: 9153.228515625
RMSE: 95.67250658169776
NRMSE: 0.3203024778022049
MAE: 63.63272476196289
MBE: -14.075904
sMAPE: 0.46554026
R^2: 0.8712470531463623
