Training Error
MSE: 9527.564453125
RMSE: 97.60924368688141
NRMSE: 0.3336958838959196
MAE: 56.18449020385742
MBE: 19.35023
sMAPE: 0.37227538
R^2: 0.8658110499382019

Validation Error
MSE: 8174.65771484375
RMSE: 90.41381373907281
NRMSE: 0.29631009052405727
MAE: 52.63845443725586
MBE: 14.868843
sMAPE: 0.35886246
R^2: 0.8900448679924011

Testing Error
MSE: 9706.0947265625
RMSE: 98.51951444542598
NRMSE: 0.32990099757018265
MAE: 59.0859260559082
MBE: 17.093952
sMAPE: 0.40588686
R^2: 0.863470196723938
