Training Error
MSE: 7542.42236328125
RMSE: 86.8471206389783
NRMSE: 0.2969035061720735
MAE: 52.00572204589844
MBE: 0.94673854
sMAPE: 0.37359026
R^2: 0.8937703967094421

Validation Error
MSE: 8288.9580078125
RMSE: 91.04371481773192
NRMSE: 0.29837444372319705
MAE: 56.7435302734375
MBE: -4.9251747
sMAPE: 0.39584902
R^2: 0.8885074257850647

Testing Error
MSE: 9329.7421875
RMSE: 96.59059057434115
NRMSE: 0.32344183145583555
MAE: 61.98878860473633
MBE: -7.39149
sMAPE: 0.42972845
R^2: 0.8687641620635986
