Training Error
MSE: 7822.60693359375
RMSE: 88.44550261937432
NRMSE: 0.3023678809341868
MAE: 52.64439010620117
MBE: 0.30317062
sMAPE: 0.37484232
R^2: 0.8898241519927979

Validation Error
MSE: 8528.94140625
RMSE: 92.35226800815451
NRMSE: 0.30266292021008256
MAE: 56.95595932006836
MBE: -4.860839
sMAPE: 0.39446175
R^2: 0.8852794766426086

Testing Error
MSE: 9594.1669921875
RMSE: 97.94981874504668
NRMSE: 0.32799332292395117
MAE: 62.515445709228516
MBE: -5.7376046
sMAPE: 0.42983225
R^2: 0.8650446534156799
